CASEID,ORGANIZATION_NUMBER,PERCENT_WHITE,BUDGET,DISCIPLINE,JOBTYPE,LEVEL,EMPLOYMENTSTATUS,RACEETHNICITY,GENDER,DISABILITYSTATUS,DECADEBORN,DECADEHIRED,VOLUNTEER
14510,MASKED,4,1,Theater,12,3,1,6,1,-9,1950,1990,1
14511,MASKED,3,3,Multi-Discipline,2,3,1,6,2,-9,1950,1990,1
14512,MASKED,3,2,Theater,6,-9,3,6,1,-9,-8,2010,2
14513,MASKED,2,5,Museum,12,3,1,6,1,1,1950,1990,2
14514,MASKED,3,2,Dance,1,1,4,4,2,-9,1970,2000,2
14515,MASKED,2,5,Theater,21,1,4,6,2,-9,1950,2000,2
14516,MASKED,3,5,Music,20,1,4,6,1,-9,1990,2010,1
14517,MASKED,3,1,Visual Arts,2,3,-9,6,2,-9,1960,-8,1
14518,MASKED,2,2,Music,6,2,4,6,1,-9,1960,2010,2
14519,MASKED,3,5,Film/Visual/Audio,7,1,1,6,1,-9,1980,2010,2
14520,MASKED,1,4,Multi-Discipline,8,2,1,-8,1,-9,1980,2010,2
14521,MASKED,1,4,Visual Arts,8,1,4,2,2,-9,1950,2010,2
14522,MASKED,2,4,Multi-Discipline,10,1,1,3,2,-9,1970,2010,2
14523,MASKED,1,3,Multi-Discipline,1,1,4,3,2,-9,1970,2000,2
14524,MASKED,1,5,Multi-Discipline,19,1,1,4,2,-9,1970,2000,2
14525,MASKED,2,5,Multi-Discipline,8,2,4,2,1,-9,1960,2010,2
14526,MASKED,2,4,Multi-Discipline,2,3,4,6,1,-9,1970,2010,1
14527,MASKED,2,5,Museum,20,1,1,3,1,1,1970,2010,2
14528,MASKED,2,5,Music,8,2,4,6,1,1,1970,2000,2
14529,MASKED,3,5,Multi-Discipline,8,1,4,6,2,-9,1960,2000,2
14530,MASKED,2,5,Multi-Discipline,21,2,4,6,2,-9,1970,2010,2
14531,MASKED,4,3,Architecture/Design,2,-9,4,6,2,-9,1950,2010,1
14532,MASKED,2,5,Multi-Discipline,8,1,4,6,2,-9,1980,2010,2
14533,MASKED,2,2,Music,22,1,4,3,1,-9,1990,2010,2
14534,MASKED,4,4,Visual Arts,22,1,4,1,2,-9,1970,2010,2
14535,MASKED,3,5,Museum,17,2,1,6,1,-9,1970,1990,2
14536,MASKED,3,5,Theater,21,2,1,6,2,-9,1970,2000,2
14537,MASKED,3,4,Theater,1,2,2,6,2,-9,1960,2010,2
14538,MASKED,3,5,Music,1,2,1,6,2,-9,1950,1970,2
14539,MASKED,1,1,Theater,1,1,2,6,2,-9,1970,2010,2
14540,MASKED,3,5,Dance,1,3,1,1,1,-9,1960,1990,2
14541,MASKED,3,5,Theater,22,1,1,6,1,-9,1960,1990,2
14542,MASKED,3,4,Photography,10,1,1,6,1,-9,1980,2010,2
14543,MASKED,3,4,Museum,6,1,1,6,1,-9,1990,2010,2
14544,MASKED,2,2,Multi-Discipline,1,2,4,6,1,-9,1980,2010,2
14545,MASKED,4,2,Music,8,1,4,6,2,-9,-8,2010,2
14546,MASKED,2,2,Dance,1,1,4,5,2,-9,1980,2000,2
14547,MASKED,2,5,Multi-Discipline,19,1,1,3,1,-9,1980,2010,2
14548,MASKED,3,5,Multi-Discipline,22,1,4,4,1,-9,1950,2010,2
14549,MASKED,4,2,Humanities,14,2,4,6,1,-9,1970,2010,2
14550,MASKED,2,1,Dance,1,2,2,3,2,-9,1950,2010,2
14551,MASKED,4,1,Literature,7,3,4,6,1,-9,1970,2000,2
14552,MASKED,3,5,Music,6,1,1,6,2,-9,1970,2010,2
14553,MASKED,2,5,Museum,22,2,1,3,1,-9,1980,2010,2
14554,MASKED,3,5,Music,1,2,1,6,2,-9,1950,1980,2
14555,MASKED,2,4,Museum,17,1,1,2,1,-9,1980,2010,2
14556,MASKED,3,2,Theater,8,-9,2,3,1,-9,1950,2000,2
14557,MASKED,2,5,Museum,19,1,1,2,1,1,1980,2000,2
14558,MASKED,2,5,Museum,17,1,4,6,1,-9,1960,2000,2
14559,MASKED,2,2,Multi-Discipline,16,1,4,3,1,-9,1990,2010,2
14560,MASKED,1,5,Dance,10,1,1,2,1,-9,1970,2000,2
14561,MASKED,2,3,Botanical and Science and Zoo,16,2,1,6,1,-9,1980,2010,2
14562,MASKED,2,5,Museum,20,2,1,6,1,-9,-8,-8,2
14563,MASKED,2,1,Music,1,3,2,6,2,-9,1960,2010,1
14564,MASKED,2,3,Music,1,1,2,4,2,-9,1970,2010,2
14565,MASKED,1,4,Museum,18,1,4,6,1,-9,1990,2010,2
14566,MASKED,4,3,Multi-Discipline,7,1,2,6,2,-9,1980,2000,2
14567,MASKED,4,2,Museum,12,3,1,6,1,-9,1950,2000,2
14568,MASKED,3,5,Music,20,1,1,3,1,-9,1950,1980,2
14569,MASKED,1,3,Theater,21,1,4,3,2,-9,1960,2010,2
14570,MASKED,1,3,Multi-Discipline,20,1,1,2,1,-9,1980,2010,2
14571,MASKED,3,5,Film/Visual/Audio,8,1,1,6,1,-9,1980,2010,2
14572,MASKED,4,4,Film/Visual/Audio,2,3,4,6,1,-9,1950,2010,1
14573,MASKED,3,5,Visual Arts,20,2,1,6,2,-9,1970,2000,2
14574,MASKED,3,2,Theater,1,1,1,6,1,-9,1990,2010,2
14575,MASKED,2,4,Dance,9,1,1,3,2,-9,1950,2000,2
14576,MASKED,2,3,Multi-Discipline,1,2,4,6,2,-9,1980,2010,2
14577,MASKED,2,3,Theater,21,2,2,-8,1,-9,1990,2010,2
14578,MASKED,2,2,Visual Arts,10,2,4,3,1,-9,1980,2010,2
14579,MASKED,3,4,Dance,12,3,1,6,2,-9,1950,1980,2
14580,MASKED,1,3,Dance,6,2,1,6,1,-9,1990,2010,2
14581,MASKED,3,5,Music,11,1,1,6,2,-9,1990,2010,2
14582,MASKED,4,1,Theater,12,3,2,6,2,-9,1960,2010,2
14583,MASKED,4,1,Multi-Discipline,6,2,2,6,1,-9,1950,2010,2
14584,MASKED,2,5,Botanical and Science and Zoo,21,2,1,6,2,-9,1970,2010,2
14585,MASKED,1,2,Multi-Discipline,2,-9,-9,4,1,-9,-8,2010,1
14586,MASKED,1,2,Dance,1,2,2,4,2,-9,1980,2010,2
14587,MASKED,2,2,Architecture/Design,17,1,4,6,1,-9,-8,2000,2
14588,MASKED,2,5,Multi-Discipline,8,2,4,3,2,-9,1990,2010,2
14589,MASKED,4,1,Humanities,2,-9,-9,6,2,-9,1950,1990,1
14590,MASKED,1,5,Dance,8,1,4,6,2,-9,-8,1990,2
14591,MASKED,3,1,Theater,12,3,1,6,1,-9,1970,1990,2
14592,MASKED,1,2,Visual Arts,2,3,4,3,2,-9,1970,2010,1
14593,MASKED,3,5,Multi-Discipline,21,1,4,6,1,-9,-8,2010,2
14594,MASKED,1,1,Film/Visual/Audio,3,2,3,2,2,-9,1980,2010,1
14595,MASKED,3,4,Museum,8,1,4,6,2,-9,1980,2010,2
14596,MASKED,2,5,Botanical and Science and Zoo,16,1,-9,2,1,-9,1950,1980,2
14597,MASKED,2,5,Museum,9,1,1,3,2,1,1960,1980,2
14598,MASKED,1,1,Visual Arts,9,1,2,4,2,-9,1950,1980,2
14599,MASKED,1,5,Dance,1,1,4,2,2,-9,1970,2010,2
14600,MASKED,4,3,Theater,1,-9,1,3,2,-9,1990,2010,2
14601,MASKED,3,1,Theater,1,2,2,6,1,-9,1980,2000,2
14602,MASKED,2,1,Multi-Discipline,12,3,1,6,1,-9,1970,1990,2
14603,MASKED,3,5,Theater,1,1,1,6,2,-9,1980,2000,2
14604,MASKED,2,5,Museum,17,1,1,6,1,-9,-8,-8,2
14605,MASKED,2,5,Music,8,2,4,6,1,1,1950,1980,2
14606,MASKED,4,3,Botanical and Science and Zoo,9,1,1,6,2,-9,1980,2010,2
14607,MASKED,2,3,Multi-Discipline,2,-9,-9,6,1,-9,1970,-8,2
14608,MASKED,4,2,Music,2,2,4,6,1,-9,1950,2010,1
14609,MASKED,3,5,Visual Arts,17,1,1,6,2,-9,1960,2000,2
14610,MASKED,1,1,Folk Arts,1,3,2,4,2,-9,1990,2000,2
14611,MASKED,2,5,Museum,22,1,4,6,2,-9,1950,2010,1
14612,MASKED,1,2,Music,2,3,-9,6,2,-9,1970,2000,2
14613,MASKED,3,3,Music,2,3,4,6,2,-9,1970,2010,1
14614,MASKED,3,3,Film/Visual/Audio,2,3,4,6,2,-9,1960,2000,1
14615,MASKED,2,5,Museum,19,1,1,6,2,-9,-8,-8,2
14616,MASKED,3,5,Theater,1,1,4,3,2,-9,1990,2010,2
14617,MASKED,3,3,Multi-Discipline,2,-9,-9,6,2,-9,-8,-8,1
14618,MASKED,1,5,Multi-Discipline,21,1,4,6,1,-9,1970,2010,2
14619,MASKED,1,3,Multi-Discipline,19,1,4,3,2,-9,1960,2010,2
14620,MASKED,3,5,Film/Visual/Audio,21,1,1,6,2,-9,1960,2000,2
14621,MASKED,2,5,Museum,12,3,1,6,2,-9,1950,2010,2
14622,MASKED,2,5,Museum,18,1,4,4,2,1,1990,2010,2
14623,MASKED,3,4,Museum,22,1,4,6,1,-9,-8,2000,1
14624,MASKED,4,1,Dance,20,1,4,6,1,-9,1980,2010,2
14625,MASKED,2,5,Museum,17,1,4,4,1,-9,1970,2010,2
14626,MASKED,1,3,Multi-Discipline,8,-9,4,4,2,-9,1970,2010,2
14627,MASKED,2,5,Museum,4,2,1,6,1,1,1950,1970,2
14628,MASKED,3,1,Multi-Discipline,2,3,4,6,2,-9,1950,2000,1
14629,MASKED,3,1,Dance,12,3,2,6,1,-9,1950,1980,2
14630,MASKED,4,2,Theater,12,3,1,6,2,-9,1960,2010,2
14631,MASKED,3,2,Music,2,2,4,6,2,-9,1980,2010,2
14632,MASKED,2,5,Museum,7,2,1,6,2,1,1950,2010,2
14633,MASKED,2,5,Multi-Discipline,22,1,4,3,2,-9,1960,2010,2
14634,MASKED,3,5,Music,2,-9,-9,6,1,-9,1950,2000,1
14635,MASKED,4,2,Visual Arts,2,2,4,6,1,-9,1950,2000,1
14636,MASKED,3,1,Music,12,3,4,6,2,-9,1960,2000,1
14637,MASKED,2,5,Museum,19,1,1,4,2,1,1960,1990,2
14638,MASKED,3,1,Multi-Discipline,22,1,4,6,2,-9,1950,2000,1
14639,MASKED,3,3,Multi-Discipline,2,-9,-9,2,1,-9,1970,2010,2
14640,MASKED,3,1,Music,11,2,4,6,1,-9,1970,-8,2
14641,MASKED,3,5,Theater,21,1,4,6,2,-9,1980,2000,2
14642,MASKED,2,5,Botanical and Science and Zoo,16,2,-9,6,1,-9,1980,2010,2
14643,MASKED,2,5,Museum,19,1,1,3,2,-9,1950,1990,2
14644,MASKED,3,5,Music,16,1,2,6,1,-9,1980,2010,2
14645,MASKED,3,4,Museum,22,1,4,6,1,-9,-8,2010,1
14646,MASKED,2,3,Architecture/Design,2,3,1,6,2,-9,-8,-8,1
14647,MASKED,2,5,Museum,10,2,1,6,2,-9,-8,-8,2
14648,MASKED,4,3,Music,2,-9,-9,6,2,-9,1950,-8,1
14649,MASKED,4,1,Music,2,3,4,6,1,-9,1950,2000,1
14650,MASKED,3,5,Film/Visual/Audio,6,1,1,6,1,-9,1950,1980,2
14651,MASKED,3,3,Humanities,2,-9,-9,6,2,-9,1950,2000,2
14652,MASKED,2,5,Museum,10,2,1,4,1,1,1970,1990,2
14653,MASKED,2,3,Music,6,2,2,3,1,-9,1970,2010,2
14654,MASKED,1,2,Multi-Discipline,8,2,4,3,1,-9,1990,2010,2
14655,MASKED,3,3,Architecture/Design,2,3,4,6,2,-9,1960,2000,2
14656,MASKED,2,5,Multi-Discipline,9,2,1,6,2,2,-8,-8,2
14657,MASKED,3,5,Multi-Discipline,10,3,1,6,2,-9,1950,2000,2
14658,MASKED,1,3,Multi-Discipline,3,2,4,4,1,-9,1980,2010,2
14659,MASKED,3,5,Multi-Discipline,2,-9,-9,6,2,-9,1950,2000,2
14660,MASKED,1,1,Folk Arts,2,3,4,6,2,-9,1980,2010,1
14661,MASKED,3,5,Theater,21,1,4,6,1,-9,1980,2010,2
14662,MASKED,3,5,Music,21,2,1,4,2,-9,1960,1980,2
14663,MASKED,4,2,Music,1,1,2,6,1,-9,1950,2000,2
14664,MASKED,3,2,Theater,8,3,1,6,1,-9,1970,2010,2
14665,MASKED,2,5,Museum,17,1,4,6,2,-9,1980,2010,2
14666,MASKED,2,5,Botanical and Science and Zoo,9,1,1,-8,2,-9,1970,2010,2
14667,MASKED,3,3,Theater,21,2,4,6,2,-9,1980,2010,2
14668,MASKED,3,2,Theater,20,1,2,6,2,-9,-8,2010,2
14669,MASKED,3,2,Multi-Discipline,12,3,1,6,1,-9,1950,1980,2
14670,MASKED,3,3,Music,3,1,1,4,1,2,1980,2010,2
14671,MASKED,3,3,Multi-Discipline,2,-9,-9,6,1,-9,1960,2000,2
14672,MASKED,4,2,Theater,1,3,4,6,2,-9,1970,2000,2
14673,MASKED,2,5,Museum,22,1,4,6,1,-9,1950,2000,1
14674,MASKED,1,2,Multi-Discipline,8,1,4,3,2,-9,1990,2010,2
14675,MASKED,3,5,Theater,1,1,2,6,1,-9,-8,2000,2
14676,MASKED,2,5,Humanities,8,1,4,4,1,-9,1990,2010,2
14677,MASKED,3,3,Theater,6,2,1,6,1,-9,1980,2010,2
14678,MASKED,3,2,Multi-Discipline,8,1,1,6,1,-9,1990,2010,2
14679,MASKED,2,3,Multi-Discipline,1,2,4,4,2,-9,1970,2010,2
14680,MASKED,2,5,Humanities,5,2,1,6,1,-9,1980,2000,2
14681,MASKED,1,2,Multi-Discipline,10,2,1,3,1,-9,1970,2010,2
14682,MASKED,2,5,Botanical and Science and Zoo,19,2,1,6,2,-9,1960,2000,2
14683,MASKED,3,5,Music,21,2,1,6,2,-9,1980,2000,2
14684,MASKED,2,4,Museum,2,-9,-9,6,2,-9,-8,2000,1
14685,MASKED,4,1,Photography,2,3,4,6,2,-9,1980,2000,1
14686,MASKED,2,1,Theater,2,3,4,6,2,-9,1950,2000,1
14687,MASKED,2,5,Botanical and Science and Zoo,16,3,-9,5,1,-9,1950,1980,2
14688,MASKED,3,5,Music,21,2,1,6,2,-9,1960,1990,2
14689,MASKED,1,3,Theater,1,2,4,4,2,-9,1960,1990,2
14690,MASKED,2,5,Museum,19,1,1,2,1,1,1970,2010,2
14691,MASKED,1,2,Visual Arts,18,2,4,3,2,-9,1980,2010,2
14692,MASKED,4,2,Architecture/Design,2,-9,-9,6,1,-9,1960,-8,2
14693,MASKED,1,1,Multi-Discipline,12,3,4,4,1,-9,1970,2000,1
14694,MASKED,2,5,Multi-Discipline,11,2,1,6,2,2,-8,-8,2
14695,MASKED,4,3,Music,2,3,4,6,1,-9,1950,2000,1
14696,MASKED,4,1,Museum,2,2,4,6,1,-9,1950,1990,1
14697,MASKED,3,3,Music,8,3,4,2,1,2,1970,2000,2
14698,MASKED,3,4,Dance,8,1,4,6,1,-9,1980,2010,2
14699,MASKED,2,2,Multi-Discipline,2,-9,-9,6,2,-9,1950,2000,1
14700,MASKED,3,5,Theater,21,1,4,6,1,-9,1960,2000,2
14701,MASKED,4,3,Visual Arts,2,3,4,6,2,-9,1950,2010,1
14702,MASKED,4,3,Botanical and Science and Zoo,2,-9,-9,6,2,-9,1950,-8,2
14703,MASKED,2,5,Museum,8,1,4,5,1,-9,-8,-8,2
14704,MASKED,1,5,Multi-Discipline,22,1,4,-8,2,-9,1990,2010,2
14705,MASKED,2,5,Museum,11,2,1,6,1,-9,-8,-8,2
14706,MASKED,2,1,Visual Arts,2,3,4,5,1,-9,1970,2010,1
14707,MASKED,4,3,Theater,1,1,4,6,2,-9,1990,2010,2
14708,MASKED,1,5,Dance,8,1,4,6,1,-9,1990,2010,2
14709,MASKED,2,5,Multi-Discipline,8,1,4,3,1,-9,1980,2010,2
14710,MASKED,3,5,Music,1,2,1,6,2,-9,1960,2000,2
14711,MASKED,4,3,Theater,2,3,-9,6,2,-9,-8,2000,1
14712,MASKED,3,3,Visual Arts,8,2,1,4,1,-9,-8,2010,2
14713,MASKED,4,1,Music,2,3,2,6,2,-9,1950,2010,1
14714,MASKED,1,2,Museum,8,2,4,-8,1,-9,1980,2010,2
14715,MASKED,2,5,Music,8,2,4,6,2,1,1970,2000,2
14716,MASKED,4,2,Dance,1,2,4,6,1,-9,1970,2010,2
14717,MASKED,2,5,Multi-Discipline,1,2,4,6,1,-9,1950,2010,2
14718,MASKED,3,5,Visual Arts,19,1,1,3,2,-9,1980,2000,2
14719,MASKED,3,2,Museum,2,-9,-9,6,1,-9,1950,2010,1
14720,MASKED,2,2,Dance,2,3,4,-8,1,-9,1960,2010,1
14721,MASKED,2,1,Theater,2,3,4,3,1,-9,1980,2010,1
14722,MASKED,3,1,Dance,1,1,4,6,1,-9,1990,2010,2
14723,MASKED,2,5,Museum,15,1,4,5,1,-9,-8,-8,2
14724,MASKED,2,5,Multi-Discipline,20,2,1,4,1,-9,1980,2010,2
14725,MASKED,3,2,Visual Arts,19,2,1,6,2,-9,1950,2010,2
14726,MASKED,2,5,Museum,19,1,1,3,2,1,1950,2000,2
14727,MASKED,3,5,Theater,1,1,2,6,1,-9,1980,2010,2
14728,MASKED,3,5,Dance,2,3,-9,6,1,-9,1950,1990,1
14729,MASKED,2,5,Theater,21,1,4,6,1,-9,1980,2010,2
14730,MASKED,1,5,Dance,21,1,4,6,2,-9,1980,2010,2
14731,MASKED,1,2,Literature,14,1,2,2,1,-9,1980,2010,1
14732,MASKED,2,5,Botanical and Science and Zoo,19,1,-9,6,2,-9,1980,2010,2
14733,MASKED,2,1,Visual Arts,12,3,1,6,1,-9,1970,2010,2
14734,MASKED,3,5,Music,16,1,4,6,2,-9,1950,2010,2
14735,MASKED,2,3,Museum,6,2,1,2,1,-9,-8,-8,2
14736,MASKED,3,1,Dance,2,3,4,5,1,-9,1970,2000,1
14737,MASKED,2,5,Museum,11,2,1,6,1,-9,-8,-8,2
14738,MASKED,3,3,Humanities,2,-9,-9,6,2,-9,1950,2010,2
14739,MASKED,2,1,Music,1,3,2,6,1,-9,1980,2000,2
14740,MASKED,3,5,Theater,21,2,2,6,2,-9,-8,2000,2
14741,MASKED,3,1,Music,3,1,4,6,1,-9,1980,2010,2
14742,MASKED,3,2,Multi-Discipline,2,3,4,6,2,-9,-8,2010,1
14743,MASKED,2,5,Museum,8,2,1,6,2,-9,-8,-8,2
14744,MASKED,3,5,Theater,2,3,-9,6,1,-9,1950,1990,1
14745,MASKED,3,5,Music,1,2,1,6,2,-9,1970,2010,2
14746,MASKED,4,1,Multi-Discipline,2,3,4,6,2,-9,1950,2000,1
14747,MASKED,4,1,Multi-Discipline,2,3,4,6,1,-9,-8,2000,1
14748,MASKED,3,5,Theater,15,1,1,6,2,-9,1990,2000,2
14749,MASKED,3,5,Museum,19,1,1,6,1,-9,1950,1990,2
14750,MASKED,3,5,Music,2,-9,-9,6,1,-9,1950,1990,2
14751,MASKED,4,2,Literature,2,-9,-9,6,2,-9,1960,-8,1
14752,MASKED,2,2,Theater,1,-9,1,6,2,-9,1950,2010,1
14753,MASKED,2,5,Multi-Discipline,21,2,4,6,2,-9,1970,2010,2
14754,MASKED,2,5,Music,21,1,4,6,2,1,1980,2010,2
14755,MASKED,3,1,Music,2,3,4,2,2,-9,1970,2010,2
14756,MASKED,3,5,Film/Visual/Audio,10,1,1,2,2,-9,1980,2010,2
14757,MASKED,3,5,Theater,21,2,1,6,2,-9,1970,2000,2
14758,MASKED,2,5,Humanities,22,1,4,6,1,-9,1990,2010,2
14759,MASKED,3,3,Music,8,1,2,5,1,-9,1950,2000,2
14760,MASKED,3,4,Museum,6,3,2,6,1,-9,1970,2000,2
14761,MASKED,2,3,Music,1,-9,4,6,2,-9,1960,2000,2
14762,MASKED,2,1,Multi-Discipline,20,3,1,6,2,-9,1950,2010,2
14763,MASKED,2,5,Museum,20,1,1,5,1,-9,1980,2010,2
14764,MASKED,1,1,Music,1,3,4,-8,2,-9,1950,2000,2
14765,MASKED,3,5,Visual Arts,8,1,1,3,2,-9,1980,2010,2
14766,MASKED,2,3,Theater,21,2,4,-8,3,-9,1980,2000,2
14767,MASKED,4,1,Multi-Discipline,16,2,1,6,1,-9,1980,2010,2
14768,MASKED,3,5,Music,22,1,1,6,1,-9,1950,2010,2
14769,MASKED,1,2,Multi-Discipline,1,1,4,3,2,-9,1980,2010,2
14770,MASKED,2,1,Dance,2,3,-9,3,2,-9,1970,2010,1
14771,MASKED,2,4,Museum,20,1,1,6,2,-9,1960,2000,2
14772,MASKED,3,4,Film/Visual/Audio,12,3,1,6,1,-9,1950,1970,2
14773,MASKED,3,5,Film/Visual/Audio,7,2,1,6,2,-9,1950,1970,2
14774,MASKED,1,1,Multi-Discipline,1,-9,2,4,2,-9,-8,2010,2
14775,MASKED,2,2,Multi-Discipline,8,2,4,6,1,2,1960,2000,2
14776,MASKED,2,2,Music,1,2,2,6,1,-9,1980,2010,2
14777,MASKED,3,5,Theater,21,2,1,6,2,-9,1960,2010,2
14778,MASKED,3,5,Music,21,2,1,6,2,-9,1960,1980,2
14779,MASKED,3,3,Multi-Discipline,2,-9,-9,6,2,-9,1960,2010,2
14780,MASKED,4,2,Dance,1,3,1,2,1,-9,1980,2010,2
14781,MASKED,2,3,Dance,1,1,1,3,2,-9,1980,2010,2
14782,MASKED,3,4,Museum,20,1,4,6,1,-9,-8,1990,1
14783,MASKED,2,5,Museum,8,1,1,6,1,1,1980,2010,2
14784,MASKED,3,2,Dance,2,3,1,6,1,2,-8,2000,2
14785,MASKED,1,2,Visual Arts,6,2,2,3,1,-9,1980,2010,2
14786,MASKED,2,5,Multi-Discipline,8,2,4,6,2,-9,1990,2010,2
14787,MASKED,2,1,Visual Arts,10,1,1,6,1,-9,1960,2000,2
14788,MASKED,1,1,Multi-Discipline,4,3,2,6,1,-9,1960,1990,2
14789,MASKED,2,1,Visual Arts,2,2,4,6,2,-9,1960,1990,1
14790,MASKED,3,5,Film/Visual/Audio,10,1,1,6,1,-9,1970,2010,2
14791,MASKED,4,2,Dance,2,3,4,6,1,-9,1950,1980,1
14792,MASKED,4,3,Botanical and Science and Zoo,22,1,4,6,1,-9,1990,2010,2
14793,MASKED,2,2,Multi-Discipline,2,3,4,6,1,-9,-8,2000,1
14794,MASKED,4,3,Theater,12,3,1,6,2,-9,1950,1980,2
14795,MASKED,3,1,Multi-Discipline,12,3,4,6,1,-9,1950,2010,2
14796,MASKED,3,5,Theater,8,1,4,6,1,-9,1980,2000,2
14797,MASKED,2,5,Multi-Discipline,10,2,4,6,1,-9,1980,2010,2
14798,MASKED,2,5,Museum,11,2,1,6,2,-9,1970,2010,2
14799,MASKED,2,2,Music,22,1,4,3,2,-9,1990,2010,2
14800,MASKED,1,5,Multi-Discipline,2,3,-9,4,1,-9,1970,2000,1
14801,MASKED,1,3,Multi-Discipline,1,3,2,4,2,-9,1960,2010,2
14802,MASKED,2,1,Multi-Discipline,2,3,4,6,1,-9,1960,2010,2
14803,MASKED,3,4,Photography,3,1,3,6,1,-9,1990,2010,2
14804,MASKED,4,5,Museum,9,1,1,6,2,-9,1950,1990,2
14805,MASKED,2,2,Multi-Discipline,20,2,4,6,1,2,1990,2010,2
14806,MASKED,1,2,Theater,21,-9,2,3,2,-9,1980,2010,2
14807,MASKED,1,3,Museum,8,1,4,4,2,-9,1960,2010,2
14808,MASKED,2,5,Multi-Discipline,22,1,4,6,2,-9,1990,2010,2
14809,MASKED,1,2,Music,16,2,1,6,1,-9,1970,2010,2
14810,MASKED,2,5,Multi-Discipline,21,2,4,6,2,-9,1980,2010,2
14811,MASKED,2,2,Music,9,1,1,3,2,-9,1960,2000,2
14812,MASKED,1,5,Multi-Discipline,19,1,1,3,2,-9,1980,2000,2
14813,MASKED,2,2,Theater,1,-9,1,6,2,-9,1990,2010,2
14814,MASKED,3,2,Music,8,2,4,6,2,-9,1960,2010,2
14815,MASKED,2,3,Theater,2,3,4,-8,2,-9,1980,2010,1
14816,MASKED,3,3,Dance,21,2,1,6,2,-9,1970,2000,2
14817,MASKED,2,5,Museum,19,1,1,3,2,1,1950,2000,2
14818,MASKED,3,5,Multi-Discipline,9,1,1,4,2,-9,1950,2010,2
14819,MASKED,1,1,Multi-Discipline,2,3,-9,6,1,-9,-8,-8,2
14820,MASKED,2,3,Music,2,3,4,6,1,-9,-8,2010,1
14821,MASKED,2,5,Multi-Discipline,2,3,4,6,2,-9,1950,2000,1
14822,MASKED,2,1,Theater,1,1,4,6,1,-9,1950,2010,1
14823,MASKED,1,1,Visual Arts,4,2,1,2,1,-9,1960,2000,2
14824,MASKED,2,5,Museum,22,1,4,6,2,-9,1950,2010,1
14825,MASKED,3,4,Music,21,1,4,6,2,-9,1970,2010,2
14826,MASKED,3,5,Theater,21,1,1,6,1,-9,1980,2000,2
14827,MASKED,3,5,Multi-Discipline,21,1,4,6,2,-9,1950,2010,2
14828,MASKED,1,3,Museum,18,3,1,4,1,-9,1980,2010,2
14829,MASKED,2,5,Botanical and Science and Zoo,19,1,1,3,2,-9,1950,1980,2
14830,MASKED,1,5,Multi-Discipline,21,1,4,6,2,-9,1950,2010,2
14831,MASKED,2,4,Dance,22,1,4,2,1,-9,1960,2000,2
14832,MASKED,3,1,Multi-Discipline,1,1,2,2,2,-9,1970,2000,2
14833,MASKED,3,5,Theater,21,1,1,6,2,-9,1950,2000,2
14834,MASKED,2,5,Museum,19,1,1,6,1,1,1980,2000,2
14835,MASKED,3,5,Theater,21,2,2,6,2,-9,-8,2000,2
14836,MASKED,1,1,Dance,9,1,4,4,1,-9,1950,2000,1
14837,MASKED,1,2,Dance,1,1,2,3,1,-9,1990,2010,2
14838,MASKED,3,3,Visual Arts,8,2,4,6,1,-9,1950,2000,2
14839,MASKED,3,3,Theater,21,1,4,6,1,-9,1980,2010,2
14840,MASKED,4,5,Dance,3,-9,4,6,1,-9,1960,-8,1
14841,MASKED,4,5,Dance,3,-9,4,6,1,-9,1970,-8,1
14842,MASKED,2,3,Dance,1,1,4,6,1,-9,1950,2010,2
14843,MASKED,3,5,Multi-Discipline,22,1,4,6,2,-9,1970,2010,2
14844,MASKED,1,3,Multi-Discipline,1,2,2,3,2,-9,1980,2010,2
14845,MASKED,3,5,Music,16,2,1,6,1,-9,1980,2000,2
14846,MASKED,4,2,Multi-Discipline,2,3,4,6,1,-9,1950,2010,2
14847,MASKED,2,5,Museum,20,1,1,6,1,-9,1980,2010,2
14848,MASKED,2,5,Museum,21,1,1,6,1,1,1970,2010,2
14849,MASKED,2,2,Visual Arts,2,-9,-9,6,2,-9,1970,2010,2
14850,MASKED,3,1,Dance,2,3,2,6,1,-9,1980,2010,2
14851,MASKED,2,5,Multi-Discipline,6,3,1,3,1,-9,1960,2000,2
14852,MASKED,1,1,Film/Visual/Audio,2,3,4,4,2,-9,1950,2010,1
14853,MASKED,3,5,Theater,21,1,1,6,2,-9,1980,2000,2
14854,MASKED,4,1,Music,1,3,2,6,2,-9,1950,2000,2
14855,MASKED,2,3,Museum,2,-9,-9,2,2,-9,1960,2010,1
14856,MASKED,1,3,Dance,8,2,4,-8,3,-9,1980,2010,2
14857,MASKED,3,5,Music,21,2,1,6,1,-9,1980,2000,2
14858,MASKED,2,5,Botanical and Science and Zoo,20,1,1,6,1,-9,1980,2010,2
14859,MASKED,3,5,Theater,2,-9,-9,6,2,-9,1960,2000,2
14860,MASKED,3,2,Visual Arts,8,1,4,6,1,-9,1950,2010,2
14861,MASKED,4,1,Multi-Discipline,1,1,2,6,1,-9,1970,2010,2
14862,MASKED,3,2,Literature,2,-9,-9,6,2,-9,1960,-8,1
14863,MASKED,4,1,Theater,2,3,4,6,1,-9,1950,2000,1
14864,MASKED,3,2,Multi-Discipline,2,3,4,6,2,-9,1950,2000,1
